Activity1,Activity2,index,It helps to get points in,Required for,Perfect substitute for ,Required to max point in 
DSM (540),Elevation Certificates (310),0,,,,
DSM (540),Map Information Service (320),0,,,,
DSM (540),Outreach Projects (330),1,,,,
DSM (540),Hazard Disclosure (340),0,,,,
DSM (540),Flood Protection Information (350),0,,,,
DSM (540),Flood Protection Assistance (360),0,,,,
DSM (540),Flood Insurance Promotion (370),0,,,,
DSM (540),Flood Hazard Mapping (410),0,,,,
DSM (540),Open Space Preservation (420),1,,,,
DSM (540),Higher Regulatory Standards (430),0,,,,
DSM (540),Flood Data Maintenance (440),0,,,,
DSM (540),Stormwater Management (450),1,,,,
DSM (540),Floodplain Management Planning (510),0,,,,
DSM (540),Acquisition and Relocation (520),0,,,,
DSM (540),Flood Protection (530),1,,,,
DSM (540),Drainage System Maintenance (540),0,,,,
DSM (540),Flood Warning and Response (610),0,,,,
DSM (540),Levees (620),0,,,,
DSM (540),Dams (630),0,,,,
FWR (610),Elevation Certificates (310),0,,,,
FWR (610),Map Information Service (320),0,,,,
FWR (610),Outreach Projects (330),1,,,,
FWR (610),Hazard Disclosure (340),0,,,,
FWR (610),Flood Protection Information (350),0,,,,
FWR (610),Flood Protection Assistance (360),0,,,,
FWR (610),Flood Insurance Promotion (370),0,,,,
FWR (610),Flood Hazard Mapping (410),0,,,,
FWR (610),Open Space Preservation (420),0,,,,
FWR (610),Higher Regulatory Standards (430),1,,,,
FWR (610),Flood Data Maintenance (440),0,,,,
FWR (610),Stormwater Management (450),0,,,,
FWR (610),Floodplain Management Planning (510),0,,,,
FWR (610),Acquisition and Relocation (520),0,,,,
FWR (610),Flood Protection (530),1,,,,
FWR (610),Drainage System Maintenance (540),0,,,,
FWR (610),Flood Warning and Response (610),0,,,,
FWR (610),Levees (620),1,,,,
FWR (610),Dams (630),1,,,,
LEV (620),Elevation Certificates (310),0,,,,
LEV (620),Map Information Service (320),0,,,,
LEV (620),Outreach Projects (330),0,,,,
LEV (620),Hazard Disclosure (340),0,,,,
LEV (620),Flood Protection Information (350),0,,,,
LEV (620),Flood Protection Assistance (360),0,,,,
LEV (620),Flood Insurance Promotion (370),0,,,,
LEV (620),Flood Hazard Mapping (410),0,,,,
LEV (620),Open Space Preservation (420),0,,,,
LEV (620),Higher Regulatory Standards (430),0,,,,
LEV (620),Flood Data Maintenance (440),0,,,,
LEV (620),Stormwater Management (450),0,,,,
LEV (620),Floodplain Management Planning (510),0,,,,
LEV (620),Acquisition and Relocation (520),0,,,,
LEV (620),Flood Protection (530),0,,,,
LEV (620),Drainage System Maintenance (540),0,,,,
LEV (620),Flood Warning and Response (610),1,,,,
LEV (620),Levees (620),0,,,,
LEV (620),Dams (630),1,,,,
DAM (630),Elevation Certificates (310),0,,,,
DAM (630),Map Information Service (320),0,,,,
DAM (630),Outreach Projects (330),1,,,,
DAM (630),Hazard Disclosure (340),0,,,,
DAM (630),Flood Protection Information (350),0,,,,
DAM (630),Flood Protection Assistance (360),0,,,,
DAM (630),Flood Insurance Promotion (370),0,,,,
DAM (630),Flood Hazard Mapping (410),0,,,,
DAM (630),Open Space Preservation (420),0,,,,
DAM (630),Higher Regulatory Standards (430),0,,,,
DAM (630),Flood Data Maintenance (440),0,,,,
DAM (630),Stormwater Management (450),0,,,,
DAM (630),Floodplain Management Planning (510),0,,,,
DAM (630),Acquisition and Relocation (520),0,,,,
DAM (630),Flood Protection (530),0,,,,
DAM (630),Drainage System Maintenance (540),0,,,,
DAM (630),Flood Warning and Response (610),1,,,,
DAM (630),Levees (620),1,,,,
DAM (630),Dams (630),0,,,,
